id,authors,publication_date,title,venue,doi,url,status,reading_level,relevance,accessed
L01,Hanna Bach; Teis Hansen,2023-01,IMO off course for decarbonisation of shipping? Three challenges for stricter policy,Marine Policy,10.1016/j.marpol.2022.105379,https://www.sciencedirect.com/science/article/pii/S0308597X22004262,published article or scholarly chapter,出版社摘要与亮点,制度能力、授权边界和政治共识；作为机制解释起点。,2026-09-20
L02,Laurence Cret; Marc Baudry; Frédéric Lantz,2024-11,How to implement the 2023 IMO GHG strategy? Insights on the importance of combining policy instruments and on the role of uncertainty,Marine Policy,10.1016/j.marpol.2024.106332,https://www.sciencedirect.com/science/article/pii/S0308597X24003300,published article or scholarly chapter,出版社索引摘要与亮点,政策工具组合已有实质研究；区分碳价、标准及其条件。,2026-09-20
L03,Joseph Earsom,2025-01-27,Making waves or ripples? The influence of the European Green Deal on the revised IMO GHG strategy,"International Environmental Agreements: Politics, Law and Economics",10.1007/s10784-024-09661-x,https://link.springer.com/article/10.1007/s10784-024-09661-x,published article or scholarly chapter,出版社摘要、数据声明与参考文献,政策影响已有过程研究，需明确我们的文档证据增量。,2026-09-20
L04,Kjersti Aalbu,在线 2024-08-30；卷期 2026,Out of Sync: The Making and Remaking of Data and Regulations on Greenhouse Gases at the International Maritime Organization,"Science, Technology, & Human Values",10.1177/01622439241279622,https://journals.sagepub.com/doi/10.1177/01622439241279622,published article or scholarly chapter,出版社摘要与正文选段,数据需求兼具促进共识与拖延效应，不能自动将进一步研究归为反对。,2026-09-20
L05,Jia Zhang; Huadong Li; Shanshan Fu; Wengang Mao,2026-04,Evaluating multi-level policy coherence in maritime decarbonization: A design–framing alignment approach,Journal of Environmental Management,10.1016/j.jenvman.2026.129703,https://research.chalmers.se/en/publication/551795,published article or scholarly chapter,作者机构库摘要与书目,12份政策文件的设计—框架一致性；跨层级比较已存在。,2026-09-20
L06,Min Zhu; Linchi Qu,在线 2025-12-11；卷期 2026,Text classification of issues concerning implementation of IMO instruments based on deep bidirectional language representation model,Discover Artificial Intelligence,10.1007/s44163-025-00669-z,https://link.springer.com/article/10.1007/s44163-025-00669-z,published article or scholarly chapter,出版社摘要及方法概述,IMO文本BERT分类已存在，审计发现不同于谈判主张。,2026-09-20
L07,In-Su Han; Myung-Il Roh; Min-Chul Kong,卷期 2026；DOI 含 2025,A RAG-based Q&A system for ship regulations applying domain adaptation,International Journal of Naval Architecture and Ocean Engineering,10.1016/j.ijnaoe.2025.100735,https://snu.elsevierpure.com/en/publications/a-rag-based-qampa-system-for-ship-regulations-applying-domain-ada/,published article or scholarly chapter,作者机构库摘要及出版社方法选段,层级法规检索和领域适配已有先例；简单法规问答不是强创新。,2026-09-20
L08,Xiyu Zhang; Langxiong Gan; Yaqing Shu; Ran Yan; Zaili Yang,2026-09,Large language model enhanced maritime ship registration: The implications in advancing intelligent maritime governance,Transport Policy,10.1016/j.tranpol.2026.104260,https://www.sciencedirect.com/science/article/pii/S0967070X26002702,published article or scholarly chapter,出版社索引摘要、引言和贡献,海事治理领域SFT和参数高效微调已发表；需要治理问题驱动。,2026-09-20
L09,Hyunsoo Yun; Eun Hak Lee,2025-09,Party politics in transport policy with a large language model,Transport Policy,10.1016/j.tranpol.2025.06.021,https://www.sciencedirect.com/science/article/pii/S0967070X2500246X,published article or scholarly chapter,出版社索引摘要、方法和讨论选段,LLM交通立法分析已有先例，SHAP不能自动解释为因果。,2026-09-20
L10,Viviane Walker; Mario Angst,2025-11-19,Promises and pitfalls of using LLMs to identify actor stances in political discourse,PLOS One,10.1371/journal.pone.0335547,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335547,published article or scholarly chapter,出版社摘要、方法、结论与编码手册选段,须定义主体—目标立场并用领域标注验证，不能只比较提示词。,2026-09-20
L11,Andrew Halterman; Katherine A. Keith,在线 2025-09-19；卷期 2026,Codebook LLMs: Evaluating LLMs as Measurement Tools for Political Science Concepts,Political Analysis,10.1017/pan.2025.10017,https://www.cambridge.org/core/journals/political-analysis/article/codebook-llms-evaluating-llms-as-measurement-tools-for-political-science-concepts/7B323A0E47F782F2698A0AE849EA00DE,published article or scholarly chapter,出版社摘要、评估阶段及结论,编码手册、行为测试、零样本评估、错误分析和微调路径。,2026-09-20
L12,Quang Minh Nguyen; Taegyoon Kim,2025,Is External Information Useful for Stance Detection with LLMs?,Findings of the Association for Computational Linguistics: ACL 2025,10.18653/v1/2025.findings-acl.764,https://aclanthology.org/2025.findings-acl.764/,published article or scholarly chapter,ACL原论文摘要与书目,外部信息可能使模型偏离待测文本，RAG必须做消融。,2026-09-20
L13,Anne Skorkjær Binderkrantz; Amy Melissa McKay; Jonas Alexander Whittlestone,2026-07-16,Measuring stakeholder influence: a comparison of automated and manual approaches,Journal of European Public Policy,10.1080/13501763.2026.2697930,https://www.tandfonline.com/doi/full/10.1080/13501763.2026.2697930,published article or scholarly chapter,出版社索引摘要、方法与讨论选段,人工、文本复用与AI影响测量已有比较；需针对IMO的归属和版本问题改进。,2026-09-20
